Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
System Engineer ,TCS,0-10yrs  ,"5,94,208",2.0,11.2,3.6,14.7k
IT Analyst ,TCS,3-11yrs  ,"9,06,383",3.4,20.7,3.6,14.7k
AST Consultant ,TCS,6-15yrs  ,"14,59,893",4.0,29.8,3.6,14.7k
Assistant System Engineer ,TCS,0-4yrs  ,"3,95,819",2.5,5.9,3.6,14.7k
Associate Consultant ,TCS,4-21yrs  ,"18,15,220",3.8,34.2,3.6,14.7k
Senior Process Associate ,TCS,0-11yrs  ,"4,40,681",2.0,7.9,3.6,14.7k
Software Engineer ,TCS,0-8yrs  ,"6,32,058",2.0,14.5,3.6,14.7k
Process Associate ,TCS,0-9yrs  ,"3,18,472",95.0,5.5,3.6,14.7k
Software Developer ,TCS,0-9yrs  ,"6,56,186",1.9,14.9,3.6,14.7k
System Engineer Hardware ,TCS,0-6yrs  ,"6,75,274",2.5,12.5,3.6,14.7k
System Engineer ,Accenture,0-10yrs  ,"8,17,107",3.0,15.5,4.3,6.3k
IT Analyst ,Accenture,3-11yrs  ,"12,32,730",3.5,19.9,4.3,6.3k
AST Consultant ,Accenture,6-15yrs  ,"12,37,733",2.6,28.0,4.3,6.3k
Assistant System Engineer ,Accenture,0-4yrs  ,"14,81,563",50.0,30.3,4.3,6.3k
Associate Consultant ,Accenture,4-21yrs  ,"6,83,481",2.7,16.5,4.3,6.3k
Senior Process Associate ,Accenture,0-11yrs  ,"3,76,627",20.0,8.3,4.3,6.3k
Software Engineer ,Accenture,0-8yrs  ,"10,95,852",50.0,21.3,4.3,6.3k
Process Associate ,Accenture,0-9yrs  ,"4,88,765",1.0,8.2,4.3,6.3k
Software Developer ,Accenture,0-9yrs  ,"17,88,527",6.1,27.5,4.3,6.3k
System Engineer Hardware ,Accenture,0-6yrs  ,"4,68,775",2.6,8.0,4.3,6.3k
System Engineer ,Cognizant,0-10yrs  ,"5,70,821",2.5,9.7,4.1,4.9k
IT Analyst ,Cognizant,3-11yrs  ,"15,10,127",2.1,30.2,4.1,4.9k
AST Consultant ,Cognizant,6-15yrs  ,"4,05,068",80.0,7.5,4.1,4.9k
Assistant System Engineer ,Cognizant,0-4yrs  ,"10,93,483",1.0,22.0,4.1,4.9k
Associate Consultant ,Cognizant,4-21yrs  ,"12,87,353",3.5,30.0,4.1,4.9k
Senior Process Associate ,Cognizant,0-11yrs  ,"2,62,336",75.0,6.0,4.1,4.9k
Software Engineer ,Cognizant,0-8yrs  ,"8,13,561",1.7,21.0,4.1,4.9k
Process Associate ,Cognizant,0-9yrs  ,"5,62,229",1.0,11.0,4.1,4.9k
Software Developer ,Cognizant,0-9yrs  ,"4,14,426",2.5,7.0,4.1,4.9k
System Engineer Hardware ,Cognizant,0-6yrs  ,"23,02,177",8.7,36.0,4.1,4.9k
