Industry,No_Employees,Ownership,Company Age,Locations,Headquarter,No_Branches
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +280 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +141 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +141 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +141 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +141 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +141 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +141 more,Mumbai ,280 more
IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +141 more,Mumbai ,280 more
